Characters,Meaning,Pronunciation
事件,event; happening; incident,shìjiàn
设计,plan; design; to design; to plan,shèjì
直接,direct (opposite: indirect 間接|间接[jian4 jie1]); immediate; straightforward,zhíjiē
报告,to inform; to report; to make known; report; speech; talk; lecture,bàogào
战争,war; conflict,zhànzhēng
英国,United Kingdom 聯合王國|联合王国[Lian2 he2 wang2 guo2]; United Kingdom of Great Britain and Northern Ireland; abbr. for England 英格蘭|英格兰[Ying1 ge2 lan2],yīngguó
存在,to exist; to be; existence,cúnzài
人员,staff; crew; personnel,rényuán
成功,"Chenggong or Chengkung town in Taitung County 臺東縣|台东县[Tai2 dong1 Xian4], southeast Taiwan",chénggōng
科技,science and technology,kējì
时期,period; phase,shíqī
项目,item; project; (sports) event,xiàngmù
政策,policy,zhèngcè
故事,old practice,gùshì
资源,"Ziyuan county in Guilin 桂林[Gui4 lin2], Guangxi",zīyuán
集团,group; bloc; corporation; conglomerate,jítuán
不断,unceasing; uninterrupted; continuous; constant,bùduàn
合作,to cooperate; to collaborate; to work together; cooperation,hézuò
专业,specialty; specialized field; main field of study (at university); major; professional,zhuānyè
参与,to participate (in sth),cānyù
科学,science; scientific knowledge; scientific; rational,kēxué
任务,mission; assignment; task; duty; role,rènwu
是否,whether (or not); if; is or isn't,shìfǒu
成立,to establish; to set up; to be tenable; to hold water,chénglì
规定,provision; to fix; to set; to formulate; to stipulate; to provide; regulation; rule,guīdìng
时代,"Time, US weekly news magazine",shídài
艺术,art,yìshù
处理,to handle; to treat; to deal with; to process; to deal with a criminal case; to mete out punishment; to offer for sale at a reduced price; to punish,chǔlǐ
举行,"to hold (a meeting, ceremony etc)",jǔxíng
拥有,to have; to possess,yōngyǒu
独立,independent; independence; to stand alone,dúlì
全球,entire; total; global; the (whole) world; worldwide,quánqiú
传统,tradition; traditional; convention; conventional,chuántǒng
超过,to surpass; to exceed; to outstrip,chāoguò
韩国,"South Korea (Republic of Korea); Han, one of the Seven Hero States of the Warring States 戰國七雄|战国七雄[zhan4 guo2 qi1 xiong2]; Korea from the fall of the Joseon dynasty in 1897",hánguó
期间,period of time; time; time period; period,qījiān
分析,to analyze; analysis,fēnxī
目标,target; goal; objective,mùbiāo
调查,investigation; inquiry; to investigate; to survey; survey; (opinion) poll,diàochá
投资,investment; to invest,tóuzī
人类,humanity; human race; mankind,rénlèi
真正,genuine; real; true; genuinely,zhēnzhèng
产生,to arise; to come into being; to come about; to give rise to; to bring into being; to bring about; to produce; to engender; to generate; to appear; appearance; emergence; generation; production; yield,chǎnshēng
为人,to conduct oneself; behavior; conduct; personal character,wéirén
世纪,century,shìjì
行动,operation; action; to move about; mobile,xíngdòng
严重,grave; serious; severe; critical,yánzhòng
帮助,assistance; aid; to help; to assist,bāngzhù
造成,to bring about; to create; to cause,zàochéng
增加,to raise; to increase,zēngjiā
作品,work (of art); opus,zuòpǐn
家庭,family; household,jiātíng
工业,industry,gōngyè
基础,base; foundation; basis; underlying,jīchǔ
负责,to be in charge of; to take responsibility for; to be to blame; conscientious,fùzé
根本,fundamental; basic; root; simply; absolutely (not); (not) at all,gēnběn
具有,to have; to possess,jùyǒu
结束,termination; to finish; to end; to conclude; to close,jiéshù
控制,control; to exercise control over; to contain,kòngzhì
群众,mass; multitude; the masses,qúnzhòng
才能,talent; ability; capacity,cáinéng
选举,to elect; election,xuǎnjǔ
媒体,"media, esp. news media",méitǐ
努力,great effort; to strive; to try hard,nǔlì
整个,whole; entire; total,zhěnggè
如此,in this way; so,rúcǐ
利用,to exploit; to make use of; to use; to take advantage of; to utilize,lìyòng
欧洲,Europe; abbr. for 歐羅巴洲|欧罗巴洲[Ou1 luo2 ba1 Zhou1],ōuzhōu
比赛,competition (sports etc); match; to compete,bǐsài
达到,to reach; to achieve; to attain,dádào
制度,"system (e.g. political, adminstrative etc); institution",zhìdù
年代,a decade of a century (e.g. the Sixties); age; era; period,niándài
未来,future; tomorrow; approaching; coming; pending,wèilái
开发,to exploit (a resource); to open up (for development); to develop,kāifā
主席,chairperson; premier; chairman,zhǔxí
革命,revolution; revolutionary (politics),gémìng
以来,since (a previous event),yǐlái
成员,member,chéngyuán
离开,to depart; to leave,líkāi
基本,basic; fundamental; main; elementary,jīběn
导致,to lead to; to create; to cause; to bring about,dǎozhì
价值,"value; worth; fig. values (ethical, cultural etc)",jiàzhí
中年,middle age,zhōngnián
加入,to become a member; to join; to mix into; to participate in; to add in,jiārù
属于,to be classified as; to belong to; to be part of,shǔyú
数据,data; numbers; digital,shùjù
形成,to form; to take shape,xíngchéng
行政,administrative; executive (attributive),xíngzhèng
发布,to release; to issue; to announce; to distribute; also written 發布|发布[fa1 bu4],fābù
建筑,to construct; building,jiànzhù
经验,experience; to experience,jīngyàn
官方,government; official (approved or issued by an authority),guānfāng
增长,to grow; to increase,zēngzhǎng
德国,Germany; German,déguó
显示,to show; to illustrate; to display; to demonstrate,xiǎnshì
部门,department; branch; section; division,bùmén
建议,to propose; to suggest; to recommend; proposal; suggestion; recommendation,jiànyì
标准,(an official) standard; norm; criterion,biāozhǔn
权利,right (i.e. an entitlement to sth); (classical) power and wealth,quánlì
条件,condition; circumstances; term; factor; requirement; prerequisite; qualification,tiáojiàn
价格,price,jiàgé
指出,to indicate; to point out,zhǐchū
专家,expert; specialist,zhuānjiā
系列,series; set,xìliè
改革,reform; to reform,gǎigé
警察,police; police officer,jǐngchá
记录,to record; record (written account); note-taker; record (in sports etc),jìlù
用户,user; consumer; subscriber; customer,yònghù
确定,definite; certain; fixed; to fix (on sth); to determine; to be sure; to ensure; to make certain; to ascertain; to clinch; to recognize; to confirm; OK (on computer dialog box),quèdìng
机关,mechanism; gear; machine-operated; office; agency; organ; organization; establishment; institution; body; stratagem; scheme; intrigue; plot; trick,jīguān
不仅,not only (this one); not just (...) but also,bùjǐn
女性,woman; the female sex,nǚxìng
解释,explanation; to explain; to interpret; to resolve,jiěshì
人物,"person; character (in a play, novel etc); protagonist",rénwù
执行,to implement; to carry out; to execute; to run,zhíxíng
采用,to adopt; to employ; to use,cǎiyòng
证明,proof; certificate; identification; testimonial; to prove; to testify; to confirm the truth of,zhèngmíng
理论,theory; to argue; to take notice of,lǐlùn
讨论,to discuss; to talk over,tǎolùn
结构,structure; composition; makeup; architecture,jiégòu
区域,area; region; district,qūyù
俄罗斯,Russia,éluósī
综合,comprehensive; composite; synthesized; mixed; to sum up; to integrate; to synthesize,zōnghé
中央,central; middle; center; central authorities (of a state),zhōngyāng
分别,to part or leave each other; to distinguish; difference; in different ways; differently; separately or individually,fēnbié
工程,engineering; an engineering project; project; undertaking,gōngchéng
要不,otherwise; or else; how about...?; either... (or...),yàobù
全部,whole; entire; complete,quánbù
社区,community; neighborhood,shèqū
公开,public; to publish; to make public,gōngkāi
宣布,to declare; to announce; to proclaim,xuānbù
当地,local,dāngdì
坚持,to persevere with; to persist in; to insist on,jiānchí
范围,range; scope; limit; extent,fànwéi
功能,function; capability,gōngnéng
农业,agriculture; farming,nóngyè
力量,power; force; strength,lìliang
例如,for example; for instance; such as,lìrú
民族,nationality; ethnic group,mínzú
组成,to form; to make up; to constitute,zǔchéng
取得,to acquire; to get; to obtain,qǔdé
土地,land; soil; territory,tǔdì
大量,great amount; large quantity; bulk; numerous; generous; magnanimous,dàliàng
考虑,to think over; to consider; consideration,kǎolǜ
持续,to continue; to persist; sustainable; preservation,chíxù
保证,guarantee; to guarantee; to ensure; to safeguard; to pledge,bǎozhèng
开放,to bloom; to open; to be open (to the public); to open up (to the outside); to be open-minded; unrestrained by convention; unconstrained in one's sexuality,kāifàng
权力,power; authority,quánlì
健康,health; healthy,jiànkāng
精神,spirit; mind; consciousness; thought; mental; psychological; essence; gist,jīngshén
实际,reality; practice; practical; realistic; real; actual,shíjì
容易,easy; likely; liable (to),róngyì
领域,domain; sphere; field; territory; area,lǐngyù
设备,equipment; facilities; installations,shèbèi
免费,free (of charge),miǎnfèi
最终,final; ultimate,zuìzhōng
印度,India,yìndù
位于,to be located at; to be situated at; to lie,wèiyú
美元,American dollar; US dollar,měiyuán
终于,at last; in the end; finally; eventually,zhōngyú
来年,next year; the coming year,láinián
几乎,almost; nearly; practically,jīhū
生命,life (as the characteristic of living beings); living being; creature,shēngmìng
产业,industry; estate; property; industrial,chǎnyè
都会,city; metropolis,dūhuì
文章,article; essay; literary works; writings; hidden meaning,wénzhāng
面积,"area (of a floor, piece of land etc); surface area; tract of land",miànjī
意义,sense; meaning; significance; importance,yìyì
居民,resident; inhabitant,jūmín
肯定,to be certain; to be positive; assuredly; definitely; to give recognition; to affirm; affirmative (answer),kěndìng
所谓,so-called; what is called,suǒwèi
唯一,only; sole,wéiyī
曾经,once; already; former; previously; ever; (past tense marker used before verb or clause),céngjīng
结合,to combine; to link; to integrate; binding,jiéhé
亚洲,Asia; abbr. for 亞細亞洲|亚细亚洲[Ya4 xi4 ya4 Zhou1],yàzhōu
官员,official (in an organization or government); administrator,guānyuán
军队,army; troops,jūnduì
引起,to give rise to; to lead to; to cause; to arouse,yǐnqǐ
稳定,steady; stable; stability; to stabilize; to pacify,wěndìng
明显,clear; distinct; obvious,míngxiǎn
现场,"the scene (of a crime, accident etc); (on) the spot; (at) the site",xiànchǎng
确实,indeed; really; reliable; real; true,quèshí
人士,person; figure; public figure,rénshì
现象,phenomenon; appearance,xiànxiàng
大陆,mainland China (reference to the PRC),dàlù
模式,mode; method; pattern,móshì
死亡,to die; death,sǐwáng
强调,to emphasize (a statement); to stress,qiángdiào
职业,occupation; profession; vocation; professional,zhíyè
教师,teacher,jiàoshī
加强,to reinforce; to strengthen; to increase,jiāqiáng
联合,to combine; to join; unite; alliance,liánhé
更加,more (than sth else); even more,gèngjiā
平台,platform; terrace; flat-roofed building,píngtái
节目,program; item (on a program),jiémù
也许,perhaps; maybe,yěxǔ
好在,luckily; fortunately,hǎozài
军事,military affairs; military matters; military,jūnshì
宣传,to disseminate; to give publicity to; propaganda,xuānchuán
阅读,to read; reading,yuèdú
后人,later generation,hòurén
行业,industry; business,hángyè
现代,"Hyundai, South Korean company",xiàndài
责任,responsibility; blame; duty,zérèn
事实,fact,shìshí
公民,citizen,gōngmín
理解,to comprehend; to understand; comprehension; understanding,lǐjiě
实行,to implement; to carry out; to put into practice,shíxíng
长期,long term; long time; long range (of a forecast),chángqī
欢迎,to welcome; welcome,huānyíng
经历,experience; to experience; to go through,jīnglì
失去,to lose,shīqù
内部,"interior; inside (part, section); internal",nèibù
状态,state of affairs; state; mode; situation,zhuàngtài
减少,to lessen; to decrease; to reduce; to lower,jiǎnshǎo
真实,true; real,zhēnshí
报道,to report (news); report,bàodào
攻击,to attack; to accuse; to charge; an attack (terrorist or military),gōngjī
农民,peasant; farmer,nóngmín
保持,to keep; to maintain; to hold; to preserve,bǎochí
机场,airport; airfield; (slang) service provider for Shadowsocks or similar software for circumventing Internet censorship,jīchǎng
规模,scale; scope; extent,guīmó
形式,outer appearance; form; shape; formality,xíngshì
错误,error; mistake; mistaken; false; wrong,cuòwù
思想,thought; thinking; idea; ideology,sīxiǎng
动物,animal,dòngwù
苏联,"Soviet Union, 1922-1991; abbr. for Union of Soviet Socialist Republics (USSR) 蘇維埃社會主義共和國聯盟|苏维埃社会主义共和国联盟[Su1 wei2 ai1 She4 hui4 zhu3 yi4 Gong4 he2 guo2 Lian2 meng2]",sūlián
交易,(business) transaction; business deal,jiāoyì
此外,besides; in addition; moreover; furthermore,cǐwài
积极,active; energetic; vigorous; positive (outlook); proactive,jījí
仍然,still; yet,réngrán
绝对,absolute; unconditional,juéduì
清楚,clear; distinct; to understand thoroughly; to be clear about,qīngchu
采取,"to adopt or carry out (measures, policies, course of action); to take",cǎiqǔ
经营,to engage in (business etc); to run; to operate,jīngyíng
能人,"capable person; Homo habilis, extinct species of upright East African hominid",néngrén
后年,the year after next,hòunián
到底,finally; in the end; when all is said and done; after all; to the end; to the last,dàodǐ
方案,plan; program (for action etc); proposal; proposed bill,fāngàn
观点,point of view; viewpoint; standpoint,guāndiǎn
青年,youth; youthful years; young person; the young,qīngnián
农村,rural area; village,nóngcūn
和平,"Heping district of Shenyang city 瀋陽市|沈阳市, Liaoning; Hoping township in Taichung county 臺中縣|台中县[Tai2 zhong1 xian4], Taiwan",hépíng
分享,to share (let others have some of sth good),fēnxiǎng
尽管,"despite; although; even though; in spite of; unhesitatingly; do not hesitate (to ask, complain etc); (go ahead and do it) without hesitating",jǐnguǎn
资金,funds; funding; capital,zījīn
创造,to create; to bring about; to produce; to set (a record),chuàngzào
即使,even if; even though,jíshǐ
总理,premier; prime minister,zǒnglǐ
创新,innovation; to bring forth new ideas; to blaze new trails,chuàngxīn
公布,to announce; to make public; to publish,gōngbù
在于,to be in; to lie in; to consist in; to depend on; to rest with,zàiyú
工具,tool; instrument; utensil; means (to achieve a goal etc),gōngjù
设立,to set up; to establish,shèlì
类似,similar; analogous,lèisì
协议,agreement; pact; protocol,xiéyì
限制,to restrict; to limit; to confine; restriction; limit,xiànzhì
无论,no matter what or how; regardless of whether...,wúlùn
金融,banking; finance; financial,jīnróng
压力,pressure,yālì
利益,benefit; (in sb's) interest,lìyì
电脑,computer,diànnǎo
交通,to be connected; traffic; transportation; communications; liaison,jiāotōng
部长,head of a (government etc) department; section chief; section head; secretary; minister,bùzhǎng
规律,rule (e.g. of science); law of behavior; regular pattern; rhythm; discipline,guīlǜ
制作,to make; to manufacture,zhìzuò
宪法,constitution (of a country),xiànfǎ
突然,sudden; abrupt; unexpected,tūrán
方向,direction; orientation; path to follow,fāngxiàng
破坏,destruction; damage; to wreck; to break; to destroy,pòhuài
不再,no more; no longer,bùzài
逐渐,gradually,zhújiàn
主任,director; head,zhǔrèn
作者,author; writer,zuòzhě
同志,comrade; (slang) homosexual,tóngzhì
团体,group; organization; team,tuántǐ
委员,committee member; committee; council,wěiyuán
举办,to conduct; to hold,jǔbàn
制造,to manufacture; to make,zhìzào
附近,(in the) vicinity; nearby; neighboring; next to,fùjìn
医疗,medical treatment,yīliáo
训练,to train; to drill; training,xùnliàn
意识,consciousness; awareness; to be aware; to realize,yìshí
宗教,religion,zōngjiào
看来,apparently; it seems that,kànlai
版本,version; edition; release,bǎnběn
正确,correct; proper,zhèngquè
原则,principle; doctrine,yuánzé
销售,"to sell; to market; sales (representative, agreement etc)",xiāoshòu
战略,strategy,zhànlüè
阶段,stage; section; phase; period,jiēduàn
有效,effective; in effect; valid,yǒuxiào
推动,to push (for acceptance of a plan); to push forward; to promote; to actuate,tuīdòng
联盟,alliance; union; coalition,liánméng
失败,to be defeated; to lose; to fail (e.g. experiments); failure; defeat,shībài
程度,degree (level or extent); level,chéngdù
人数,number of people,rénshù
质量,quality; (physics) mass,zhìliàng
儿童,child,értóng
编辑,to edit; to compile; editor; compiler,biānjí
资本,capital (economics),zīběn
教授,professor; to instruct; to lecture on,jiàoshòu
允许,to permit; to allow,yǔnxǔ
出版,to publish,chūbǎn
申请,to apply for sth; application (form etc),shēnqǐng
武器,weapon; arms,wǔqì
协会,an association; a society,xiéhuì
政权,regime; political power,zhèngquán
调整,to adjust; adjustment; revision,tiáozhěng
需求,requirement; to require; (economics) demand,xūqiú
今日,today,jīnrì
态度,manner; bearing; attitude; approach,tàidu
数字,numeral; digit; number; figure; amount; digital (electronics etc),shùzì
业务,business; professional work; service,yèwù
双方,bilateral; both sides; both parties involved,shuāngfāng
检查,inspection; to examine; to inspect,jiǎnchá
状况,condition; state; situation,zhuàngkuàng
水平,level (of achievement etc); standard; horizontal,shuǐpíng
体系,system; setup,tǐxì
购买,to purchase; to buy,gòumǎi
困难,difficult; challenging; straitened circumstances; difficult situation,kùnnan
网址,website; web address; URL,wǎngzhǐ
拒绝,to refuse; to decline; to reject,jùjué
监督,to control; to supervise; to inspect,jiāndū
妇女,woman,fùnǚ
针对,to target; to focus on; to be aimed at or against; in response to,zhēnduì
大会,general assembly; general meeting; convention,dàhuì
规划,to plan (how to do sth); planning; plan; program,guīhuà
危险,danger; dangerous,wēixiǎn
治疗,to treat (an illness); medical treatment; therapy,zhìliáo
广场,public square; plaza,guǎngchǎng
速度,speed; rate; velocity; (music) tempo,sùdù
商业,business; trade; commerce,shāngyè
创作,to create; to produce; to write; creative work; creation,chuàngzuò
难道,don't tell me ...; could it be that...?,nándào
铁路,railroad; railway,tiělù
通常,regular; usual; normal; usually; normally,tōngcháng
再次,one more time; again; one more; once again,zàicì
数量,amount; quantity; quantitative,shùliàng
发行,"to publish; to issue (stocks, currency etc); to release; to distribute (a film)",fāxíng
召开,to convene (a conference or meeting); to convoke; to call together,zhàokāi
及其,(conjunction linking two nouns) and its ...; and their ...; and his ...; and her ...,jíqí
文件,document; file,wénjiàn
主题,theme; subject,zhǔtí
作家,author,zuòjiā
评论,to comment on; to discuss; comment; commentary,pínglùn
平均,average; on average; evenly; in equal proportions,píngjūn
软件,(computer) software,ruǎnjiàn
事业,"undertaking; project; activity; (charitable, political or revolutionary) cause; publicly funded institution, enterprise or foundation; career; occupation",shìyè
部队,army; armed forces; troops; force; unit,bùduì
重大,great; important; major; significant,zhòngdà
律师,lawyer,lǜshī
称为,called; to call sth (by a name); to name,chēngwéi
开展,to launch; to develop; to unfold; (of an exhibition etc) to open,kāizhǎn
妻子,wife and children,qīzǐ
似乎,apparently; to seem; to appear; as if; seemingly,sìhū
具体,concrete; definite; specific,jùtǐ
不管,not to be concerned; regardless of; no matter,bùguǎn
战斗,to fight; to engage in combat; struggle; battle,zhàndòu
角色,role; character in a novel; persona; also pr. [jiao3 se4],juésè
办公室,office; business premises; bureau,bàngōngshì
英语,English (language),yīngyǔ
好说,easy to deal with; not a problem; (polite answer) you flatter me,hǎoshuō
论坛,forum (for discussion),lùntán
维护,to defend; to safeguard; to protect; to uphold; to maintain,wéihù
道路,road; path; way,dàolù
人权,human rights,rénquán
广泛,extensive; wide range,guǎngfàn
各地,in all parts of (a country); various regions,gèdì
于是,thereupon; as a result; consequently; thus; hence,yúshì
直到,until,zhídào
促进,to promote (an idea or cause); to advance; boost,cùjìn
有限公司,limited company; corporation,yǒuxiàngōngsī
改善,to make better; to improve,gǎishàn
批评,to criticize; criticism,pīpíng
按照,according to; in accordance with; in the light of; on the basis of,ànzhào
效果,result; effect; efficacy; (theater) sound or visual effects,xiàoguǒ
地位,position; status; place,dìwèi
风险,risk; hazard,fēngxiǎn
担任,to hold a governmental office or post; to assume office of; to take charge of; to serve as,dānrèn
寻找,to seek; to look for,xúnzhǎo
先进,advanced (technology); to advance,xiānjìn
基地,base (of operations); industrial or military base; al-Qaeda,jīdì
成绩,achievement; performance records; grades,chéngjì
危机,crisis,wēijī
多数,majority; most,duōshù
更新,to replace the old with new; to renew; to renovate; to upgrade; to update; to regenerate,gēngxīn
文学,literature,wénxué
毕业,graduation; to graduate; to finish school,bìyè
推出,to push out; to release; to launch; to publish; to recommend,tuīchū
下载,to download; also pr. [xia4 zai4],xiàzǎi
统治,to rule (a country); to govern; rule; regime,tǒngzhì
朝鲜,North Korea; Korea as geographic term; Taiwan pr. [Chao2 xian1],cháoxiǎn
位置,position; place; seat,wèizhi
丰富,to enrich; rich; plentiful; abundant,fēngfù
为何,why,wèihé
威胁,to threaten; to menace,wēixié
必要,necessary; essential; indispensable; required,bìyào
恢复,to reinstate; to resume; to restore; to recover; to regain; to rehabilitate,huīfù
回答,to reply; to answer; the answer,huídá
值得,to be worth; to deserve,zhíde
设置,to set up; to install,shèzhì
或许,perhaps; maybe,huòxǔ
胜利,victory,shènglì
看中,to have a preference for; to fancy; to choose after consideration; to settle on,kànzhòng
要好,to be on good terms; to be close friends; striving for self-improvement,yàohǎo
规则,rule; regulation; rules and regulations,guīzé
面临,to face sth; to be confronted with,miànlín
本来,original; originally; at first; it goes without saying; of course,běnlái
贸易,(commercial) trade,màoyì
团队,team,tuánduì
本身,itself; in itself; per se,běnshēn
一部分,portion; part of; subset,yībùfen
毛泽东,"Mao Zedong (1893-1976), Chinese communist leader",máozédōng
主张,to advocate; to stand for; view; position; stand; proposition; viewpoint; assertion,zhǔzhāng
安排,to arrange; to plan; to set up; arrangements; plans,ānpái
普通,common; ordinary; general; average,pǔtōng
伟大,huge; great; grand; worthy of the greatest admiration; important (contribution etc),wěidà
扩大,to expand; to enlarge; to broaden one's scope,kuòdà
依据,according to; basis; foundation,yījù
秘密,secret,mìmì
程序,procedures; sequence; order; computer program,chéngxù
发出,"to issue (an order, decree etc); to send out; to dispatch; to produce (a sound); to let out (a laugh)",fāchū
劳动,work; toil; physical labor,láodòng
推荐,to recommend; recommendation,tuījiàn
适合,to fit; to suit,shìhé
避免,to avert; to prevent; to avoid; to refrain from,bìmiǎn
漂亮,pretty; beautiful,piàoliang
相对,relatively; opposite; to resist; to oppose; relative; vis-a-vis; counterpart,xiāngduì
关键,crucial point; crux; key; crucial; pivotal,guānjiàn
链接,link (on a website),liànjiē
著名,famous; noted; well-known; celebrated,zhùmíng
特色,characteristic; distinguishing feature or quality,tèsè
快速,fast; high-speed; rapid,kuàisù
分布,"to scatter; to distribute; to be distributed (over an area etc); (statistical, geographic) distribution",fēnbù
背景,background; backdrop; context; (fig.) powerful backer,bèijǐng
书记,secretary (chief official of a branch of a socialist or communist party); clerk; scribe,shūji
大型,large; large-scale,dàxíng
见到,to see,jiàndào
通知,to notify; to inform; notice; notification,tōngzhī
巨大,huge; immense; very large; tremendous; gigantic; enormous,jùdà
干部,cadre; official; officer; manager,gànbù
习惯,habit; custom; usual practice; to be used to,xíguàn
敌人,enemy,dírén
民众,populace; masses; the people,mínzhòng
公众,public,gōngzhòng
男子,a man; a male,nánzǐ
身份,identity; status; capacity; dignity; position; rank,shēnfèn
得了,all right!; that's enough!,déle
联合国,United Nations,liánhéguó
理由,reason; grounds; justification,lǐyóu
表演,play; show; performance; exhibition; to perform; to act; to demonstrate,biǎoyǎn
复杂,complicated; complex,fùzá
货币,currency; monetary; money,huòbì
邀请,to invite; invitation,yāoqǐng
结婚,to marry; to get married,jiéhūn
指导,to guide; to give directions; to direct; to coach; guidance; tuition,zhǐdǎo
犯罪,to commit a crime; crime; offense,fànzuì
缺乏,to lack; to be short of; lack; shortage,quēfá
法院,court of law; court,fǎyuàn
互联网,Internet,hùliánwǎng
兴趣,interest (desire to know about sth); interest (thing in which one is interested); hobby,xìngqù
明确,clear-cut; definite; explicit; to clarify; to specify; to make definite,míngquè
女子,woman; female,nǚzǐ
苹果,apple,píngguǒ
专门,specialist; specialized; customized,zhuānmén
少数,small number; few; minority,shǎoshù
不由,can't help (doing sth),bùyóu
特殊,special; particular; unusual; extraordinary,tèshū
移民,to immigrate; to migrate; emigrant; immigrant,yímín
争取,to fight for; to strive for; to win over,zhēngqǔ
传播,to disseminate; to propagate; to spread,chuánbō
学者,scholar,xuézhě
鼓励,to encourage,gǔlì
基金,fund,jījīn
体制,system; organization,tǐzhì
连续,continuous; in a row; serial; consecutive,liánxù
否则,if not; otherwise; else; or else,fǒuzé
材料,material; data; makings; stuff,cáiliào
类型,type; category; genre; form; style,lèixíng
核心,core; nucleus,héxīn
杂志,magazine,zázhì
显然,clear; evident; obvious(ly),xiǎnrán
评价,to evaluate; to assess,píngjià
从事,to go for; to engage in; to undertake; to deal with; to handle; to do,cóngshì
中华,China (alternate formal name),zhōnghuá
制定,to draw up; to formulate,zhìdìng
优秀,outstanding; excellent,yōuxiù
食品,foodstuff; food; provisions,shípǐn
距离,distance; to be apart from,jùlí
文明,civilized; civilization; culture,wénmíng
手段,method; means (of doing sth); strategy; trick,shǒuduàn
老婆,(coll.) wife,lǎopó
强烈,intense; (violently) strong,qiángliè
整体,"whole entity; entire body; synthesis; as a whole (situation, construction, team etc); global; macrocosm; integral; holistic; whole",zhěngtǐ
访问,to visit; to call on; to interview,fǎngwèn
英文,English (language),yīngwén
人生,life (one's time on earth),rénshēng
老板,Robam (brand),lǎobǎn
因素,element; factor,yīnsù
纽约,New York,niǔyuē
措施,measure; step,cuòshī
挑战,to challenge; challenge,tiǎozhàn
推进,to impel; to carry forward; to push on; to advance; to drive forward,tuījìn
概念,concept; idea,gàiniàn
美丽,beautiful,měilì
贡献,to contribute; to dedicate; to devote; contribution,gòngxiàn
财产,property; assets; estate,cáichǎn
警方,police,jǐngfāng
最佳,"optimum; optimal; peak; best (athlete, movie etc)",zuìjiā
设施,facilities; installation,shèshī
加上,plus; to put in; to add; to add on; to add into; in addition; on top of that,jiāshàng
投入,to throw into; to put into; to throw oneself into; to participate in; to invest in; absorbed; engrossed,tóurù
漫画,caricature; cartoon; Japanese manga,mànhuà
英雄,hero,yīngxióng
